,사업자등록번호,데이터수집일자,조사년도,재무보고서구분코드,재무보고서명칭,매출액_재무제표계정과목금액,매출액_비율,매출액_증감율,영업이익_재무제표계정과목금액,영업이익_비율,영업이익_증감율,당기순이익_재무제표계정과목금액,당기순이익_비율,당기순이익_증감율
929,6168100157,20220307.0,2017.0,2.0,손익계산서,1395348.0,100.0,96.95,129563.0,9.29,-16.5,146128.0,10.47,9.51
932,1358600158,20220308.0,2020.0,2.0,손익계산서,2767590.0,100.0,86.04,133532.0,4.82,207.18,156305.0,5.65,356.39
935,1358600158,20220308.0,2019.0,2.0,손익계산서,1487594.0,100.0,90.71,43470.0,2.92,13.89,34248.0,2.3,76.63
938,1208700159,20211217.0,2016.0,2.0,손익계산서,3856746.0,100.0,-4.96,15399.0,0.4,31.83,-92212.0,-2.39,-946.99
941,1208700159,20211217.0,2017.0,2.0,손익계산서,3122254.0,100.0,-19.04,236000.0,7.56,1432.57,28437.0,0.91,-130.84
944,1208700159,20211217.0,2018.0,2.0,손익계산서,3126751.0,100.0,0.14,230805.0,7.38,-2.2,18529.0,0.59,-34.84
947,1208700159,20211217.0,2019.0,2.0,손익계산서,3343553.0,100.0,6.93,59457.0,1.78,-74.24,20041.0,0.6,8.16
950,1208700159,20211217.0,2020.0,2.0,손익계산서,4582044.0,100.0,37.04,23716.0,0.52,-60.11,161185.0,3.52,704.28
954,2118800161,20220219.0,2020.0,2.0,손익계산서,4247453.0,100.0,-70.49,-1259460.0,-29.65,-338.77,-1254737.0,-29.54,-362.99
957,2118800161,20220219.0,2019.0,2.0,손익계산서,14393506.0,100.0,30.03,527488.0,3.66,402.24,477097.0,3.31,849.82
960,2118800161,20220219.0,2018.0,2.0,손익계산서,11069720.0,100.0,13.9,105027.0,0.95,-4.68,50230.0,0.45,-24.69
970,2148600166,20210914.0,2016.0,2.0,손익계산서,14398201.0,100.0,-3.15,560022.0,3.89,25.26,401876.0,2.79,23.13
971,2148600166,20210914.0,2017.0,2.0,손익계산서,13305527.0,100.0,-7.59,216736.0,1.63,-61.3,440501.0,3.31,9.61
972,2148600166,20210914.0,2018.0,2.0,손익계산서,15053721.0,100.0,13.14,474456.0,3.15,118.91,409684.0,2.72,-7.0
973,2148600166,20210914.0,2019.0,2.0,손익계산서,18216708.0,100.0,21.01,1175324.0,6.45,147.72,3638073.0,19.97,788.02
974,2148600166,20210914.0,2020.0,2.0,손익계산서,18915589.0,100.0,3.84,649521.0,3.43,-44.74,-925322.0,-4.89,-125.43
985,1138100167,20210914.0,2016.0,2.0,손익계산서,1078000.0,100.0,-54.07,-176000.0,-16.33,-207.32,-260000.0,-24.12,-289.78
986,1138100167,20210914.0,2017.0,2.0,손익계산서,6194287.0,100.0,474.61,128539.0,2.08,-173.03,62016.0,1.0,-123.85
987,1138100167,20210914.0,2018.0,2.0,손익계산서,6662230.0,100.0,7.55,141574.0,2.13,10.14,277966.0,4.17,348.22
988,1138100167,20210914.0,2019.0,2.0,손익계산서,5784044.0,100.0,-13.18,273172.0,4.72,92.95,336880.0,5.82,21.19
989,1138100167,20210914.0,2020.0,2.0,손익계산서,3531714.0,100.0,9999.99,76732.0,2.17,9999.99,170060.0,4.82,9999.99
1002,1348700170,20210914.0,2016.0,2.0,손익계산서,6895323.0,100.0,6.91,-567112.0,-8.22,-192.7,-938254.0,-13.61,-788.92
1005,1348700170,20210914.0,2017.0,2.0,손익계산서,10053707.0,100.0,45.8,-256989.0,-2.56,54.68,-751635.0,-7.48,19.89
1008,1348700170,20210914.0,2018.0,2.0,손익계산서,15893977.0,100.0,58.09,807856.0,5.08,414.35,274699.0,1.73,136.55
1011,1348700170,20210914.0,2019.0,2.0,손익계산서,20338649.0,100.0,27.96,940376.0,4.62,16.4,592564.0,2.91,115.71
1014,1348700170,20210914.0,2020.0,2.0,손익계산서,14988797.0,100.0,-26.3,1472350.0,9.82,56.57,-394275.0,-2.63,-166.54
1020,2118800171,20220308.0,2020.0,2.0,손익계산서,21147452.0,100.0,15.37,1481954.0,7.01,141.71,1277136.0,6.04,258.08
1023,2118800171,20220308.0,2019.0,2.0,손익계산서,18329953.0,100.0,24.42,613123.0,3.34,15.67,356661.0,1.95,11.5
1026,2118800171,20220308.0,2018.0,2.0,손익계산서,14731980.0,100.0,-16.54,530053.0,3.6,-52.99,319866.0,2.17,-57.24
1029,2118800171,20220308.0,2017.0,2.0,손익계산서,17651852.0,100.0,-18.29,1127626.0,6.39,74.84,748012.0,4.24,19.19
1033,1058700173,20220409.0,2017.0,2.0,손익계산서,2888000.0,100.0,-40.6,-252000.0,-8.73,-317.24,-314000.0,-10.87,-382.88
1037,2208100175,20220220.0,2020.0,2.0,손익계산서,3245570.0,100.0,31.88,310450.0,9.57,1462.09,388475.0,11.97,676.56
1040,2208100175,20220220.0,2019.0,2.0,손익계산서,2460924.0,100.0,-12.8,19874.0,0.81,-96.81,50025.0,2.03,-92.14
1043,2208100175,20220220.0,2018.0,2.0,손익계산서,2822306.0,100.0,36.04,622707.0,22.06,268.22,636401.0,22.55,252.8
1046,2208100175,20220220.0,2017.0,2.0,손익계산서,2074674.0,100.0,-25.17,169113.0,8.15,-70.03,180384.0,8.69,-67.46
1049,3038100176,20220307.0,2020.0,2.0,손익계산서,533343.0,100.0,-46.85,28947.0,5.43,-83.01,43195.0,8.1,-73.63
1052,3038100176,20220307.0,2019.0,2.0,손익계산서,1003468.0,100.0,13.23,170347.0,16.98,180.18,163791.0,16.32,156.82
1060,2038100178,20220220.0,2020.0,2.0,손익계산서,172713331.0,100.0,12.63,16737571.0,9.69,1.42,13710860.0,7.94,14.97
1063,2038100178,20220220.0,2019.0,2.0,손익계산서,153348982.0,100.0,27.25,16503204.0,10.76,88.44,11926033.0,7.78,50.39
1066,2038100178,20220220.0,2018.0,2.0,손익계산서,120506691.0,100.0,11.24,8757631.0,7.27,-17.96,7929915.0,6.58,-7.38
1069,2038100178,20220220.0,2017.0,2.0,손익계산서,108330669.0,100.0,25.55,10675437.0,9.85,12.48,8561915.0,7.9,35.1
